epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.275,3.08509,6.21075,1.10905,0.00246,0.48704,0.01043,0.00315,2.79377,4.71014,0.98459,0.000547614,0.000547614,0.000547614
2,496.823,2.68221,3.43902,0.97227,0.33059,0.43394,0.28381,0.08915,2.64643,2.89276,0.97259,0.00108144,0.00108144,0.00108144
3,736.29,2.63886,2.86625,0.96153,0.35218,0.44198,0.30357,0.0904,2.50842,2.51046,0.95561,0.00159325,0.00159325,0.00159325
4,975.798,2.53672,2.42862,0.95594,0.43381,0.47417,0.351,0.12551,2.34818,2.25363,0.93293,0.00156798,0.00156798,0.00156798
5,1214.57,2.48724,2.03636,0.96196,0.43098,0.52028,0.42343,0.16039,2.26694,1.82104,0.90756,0.00153497,0.00153497,0.00153497
6,1452.09,2.44519,1.91011,0.95193,0.41843,0.54042,0.42722,0.15848,2.33256,1.89343,0.91407,0.00150197,0.00150197,0.00150197
7,1690.47,2.40596,1.80674,0.95297,0.51203,0.51258,0.44015,0.15734,2.18086,1.67518,0.8926,0.00146896,0.00146896,0.00146896
8,1928.36,2.36034,1.71284,0.93362,0.43581,0.61149,0.4434,0.17888,2.14906,1.62677,0.8879,0.00143595,0.00143595,0.00143595
9,2172.43,2.32104,1.64574,0.92821,0.46752,0.54869,0.4624,0.18788,2.12823,1.58988,0.88658,0.00140295,0.00140295,0.00140295
10,2410.47,2.2488,1.60688,0.92702,0.493,0.59367,0.47241,0.19059,2.10938,1.49625,0.88245,0.00136994,0.00136994,0.00136994
11,2646.7,2.28828,1.60912,0.92171,0.46384,0.61312,0.46068,0.17923,2.14228,1.58695,0.89644,0.00133693,0.00133693,0.00133693
12,3616.93,2.30005,1.61266,0.90989,0.43181,0.6157,0.45639,0.15017,2.26375,1.45589,0.91302,0.00130393,0.00130393,0.00130393
13,3833.16,2.23958,1.54643,0.90957,0.46773,0.63125,0.49415,0.18529,2.12123,1.47709,0.88774,0.00127092,0.00127092,0.00127092
14,4037.01,2.18452,1.51189,0.92045,0.48089,0.58299,0.50902,0.20986,2.07233,1.41713,0.87713,0.00123791,0.00123791,0.00123791
15,4234.91,2.19273,1.5062,0.90785,0.49971,0.59461,0.51058,0.21078,2.01906,1.47496,0.86582,0.00120491,0.00120491,0.00120491
16,4432.99,2.11019,1.4601,0.8985,0.48185,0.72232,0.55972,0.22782,2.0483,1.36562,0.86402,0.0011719,0.0011719,0.0011719
17,4630.02,2.08618,1.41024,0.89903,0.4663,0.68537,0.53339,0.22827,1.9731,1.3471,0.86019,0.00113889,0.00113889,0.00113889
18,4829.99,2.09258,1.43268,0.90612,0.48927,0.62421,0.52705,0.21577,1.98196,1.36946,0.86148,0.00110589,0.00110589,0.00110589
19,5027.57,2.06934,1.41798,0.89434,0.51753,0.62119,0.54769,0.22989,2.0725,1.38172,0.87081,0.00107288,0.00107288,0.00107288
20,5222.85,2.10942,1.44083,0.89065,0.47055,0.66894,0.50062,0.21381,2.0185,1.40446,0.86417,0.00103987,0.00103987,0.00103987
21,5422.21,2.13385,1.42967,0.90656,0.55431,0.6269,0.56885,0.22706,2.03552,1.35847,0.86516,0.00100687,0.00100687,0.00100687
