epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,770.408,0.4315,3.05129,0.31874,1.46878,1.02891,0.76953,0.87558,0.87641,0.80882,0.71315,0.81677,0.76802,0.46415,0.38168,1.9869,0.0691,0.80841,0.47228,0.00047428,0.00047428,0.00047428
2,1498.83,0.24585,2.30412,0.15992,0.76278,0.88457,0.80142,0.87215,0.89922,0.87277,0.74236,0.8067,0.774,0.50812,0.27902,1.86494,0.07216,0.65155,0.43839,0.000856503,0.000856503,0.000856503
3,2030.62,0.22067,2.13369,0.14573,0.66197,0.87921,0.79432,0.78048,0.86883,0.80454,0.70394,0.72472,0.76037,0.45957,0.34924,1.97117,0.04254,0.83685,0.46243,0.00114441,0.00114441,0.00114441
4,2586.93,0.20292,1.94796,0.13059,0.59593,0.86872,0.84804,0.83921,0.90023,0.88942,0.79998,0.79168,0.81736,0.56168,0.20853,1.67246,0.04971,0.5617,0.3967,0.00100459,0.00100459,0.00100459
5,3240.83,0.16808,1.78944,0.13385,0.53477,0.86443,0.84662,0.87498,0.92411,0.91361,0.81104,0.81456,0.84486,0.63166,0.2201,1.47732,0.05642,0.51869,0.409,0.000863116,0.000863116,0.000863116
6,3880.94,0.14869,1.66114,0.11888,0.47362,0.86036,0.85518,0.89302,0.91838,0.89913,0.80882,0.84112,0.84479,0.64351,0.23312,1.37704,0.03235,0.51832,0.42091,0.000721645,0.000721645,0.000721645
7,4896.28,0.12919,1.56132,0.12682,0.43352,0.85829,0.86094,0.89549,0.93544,0.92736,0.8267,0.83564,0.86843,0.69746,0.1916,1.26644,0.03649,0.50227,0.40138,0.000580174,0.000580174,0.000580174
8,5554.43,0.11542,1.41073,0.11851,0.39255,0.85099,0.88113,0.89733,0.93746,0.9323,0.83791,0.85228,0.86368,0.68964,0.17103,1.27203,0.03451,0.44554,0.38867,0.000438703,0.000438703,0.000438703
9,6229.89,0.09937,1.34823,0.11489,0.36526,0.85356,0.86176,0.91031,0.94582,0.94272,0.86202,0.82318,0.87221,0.71919,0.18631,1.1922,0.02917,0.42882,0.39244,0.000297232,0.000297232,0.000297232
10,6874.89,0.08553,1.23876,0.10645,0.32939,0.85157,0.8498,0.92987,0.94537,0.94238,0.83355,0.8489,0.86679,0.73305,0.15475,1.13554,0.02583,0.41856,0.38203,0.000155761,0.000155761,0.000155761
