epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1566.31,0.48046,3.30453,0.33856,1.49032,1.06169,0.7178,0.81683,0.83499,0.78591,0.68297,0.72247,0.72935,0.3937,0.29145,2.4876,0.13545,0.85061,0.50878,0.000474702,0.000474702,0.000474702
2,2749.98,0.29508,2.69093,0.26586,0.9063,0.92679,0.7273,0.79122,0.82125,0.76014,0.68462,0.73435,0.73199,0.40169,0.34255,2.46183,0.13926,0.85248,0.54562,0.000932205,0.000932205,0.000932205
3,3946.99,0.26686,2.7242,0.25909,0.84633,0.91769,0.76735,0.80169,0.83982,0.80266,0.70655,0.73371,0.72781,0.44578,0.29775,2.10832,0.13991,0.75689,0.49232,0.00137084,0.00137084,0.00137084
4,5122.55,0.23375,2.50515,0.2453,0.78835,0.89938,0.72591,0.85074,0.85382,0.80781,0.69379,0.75175,0.74416,0.43177,0.33143,2.21135,0.11614,0.7533,0.51798,0.00134412,0.00134412,0.00134412
5,6232.07,0.21781,2.41282,0.23834,0.74628,0.89323,0.79971,0.85416,0.87618,0.85637,0.74595,0.78405,0.76088,0.49958,0.20916,1.96106,0.08175,0.62034,0.43682,0.00131582,0.00131582,0.00131582
6,7395,0.20077,2.30995,0.23335,0.72019,0.88662,0.84728,0.8488,0.89225,0.84478,0.79891,0.79491,0.80026,0.51648,0.30249,1.89546,0.10522,0.63415,0.50121,0.00128753,0.00128753,0.00128753
7,8634.94,0.18918,2.17346,0.22813,0.70066,0.88489,0.78082,0.84328,0.887,0.85191,0.73047,0.78061,0.78682,0.53967,0.27027,1.93312,0.09973,0.67883,0.47827,0.00125923,0.00125923,0.00125923
8,9878.53,0.17942,2.07965,0.21808,0.67153,0.88518,0.80853,0.88357,0.89782,0.88052,0.78816,0.7818,0.797,0.54344,0.20302,1.73333,0.08487,0.57165,0.43137,0.00123094,0.00123094,0.00123094
9,11121.7,0.16875,2.0764,0.22201,0.66292,0.88149,0.81211,0.88845,0.90817,0.88493,0.80841,0.79592,0.81337,0.60067,0.23365,1.63233,0.06719,0.55754,0.45237,0.00120265,0.00120265,0.00120265
10,25598.9,0.16395,2.00135,0.21322,0.64097,0.87664,0.84388,0.8753,0.9175,0.902,0.82419,0.80083,0.82244,0.58375,0.20159,1.62384,0.08112,0.51275,0.43096,0.00117435,0.00117435,0.00117435
11,26616,0.15726,1.94916,0.21166,0.63001,0.87951,0.8466,0.86546,0.91322,0.88919,0.80852,0.80646,0.81902,0.59998,0.19292,1.52082,0.04236,0.50836,0.41548,0.00114606,0.00114606,0.00114606
12,27658.3,0.15628,1.87932,0.2072,0.63958,0.8764,0.78211,0.86335,0.90494,0.89531,0.75394,0.79945,0.81876,0.61032,0.1903,1.52242,0.05538,0.57125,0.418,0.00111776,0.00111776,0.00111776
